problem,metric,contrast,n_pairs,median_difference,mean_difference,ci95_low,ci95_high,n_negative,n_zero,n_positive,p_sign,p_holm_16
block_missing,relative_l2,vrba-m5,10,-0.19580480621174703,-0.20655636252178633,-0.2405943006240121,-0.18514935121670936,10,0,0,0.001953125,0.03125
block_missing,relative_l2,vrba-m6,10,-0.1931832496191039,-0.20602138025582048,-0.24041512804487983,-0.180690616099647,10,0,0,0.001953125,0.03125
block_missing,relative_l2,vrba-m7,10,-0.1717197643604638,-0.16913961826140783,-0.2083973020346196,-0.12735684824038346,10,0,0,0.001953125,0.03125
block_missing,relative_l2,vrba-vw,10,-0.13158085921415758,-0.13107029869567094,-0.1546487175909559,-0.09958585679875462,10,0,0,0.001953125,0.03125
extreme,relative_l2,vrba-m5,10,-0.1329927779892523,-0.14016465857421928,-0.20818405739689172,-0.06937877613862492,10,0,0,0.001953125,0.03125
extreme,relative_l2,vrba-m6,10,-0.1380634558895043,-0.15479377367408312,-0.2086596884927353,-0.11212595625415603,10,0,0,0.001953125,0.03125
extreme,relative_l2,vrba-m7,10,-0.13348640364794248,-0.12130414098496085,-0.15551416234242443,-0.06410783696884687,10,0,0,0.001953125,0.03125
extreme,relative_l2,vrba-vw,10,-0.10754423971130761,-0.097769899366204,-0.13560086177380312,-0.08287013481439925,9,0,1,0.021484375,0.107421875
sparse_clean,relative_l2,vrba-m5,10,-0.224392970144247,-0.23735416817452032,-0.3271335697916166,-0.15273122333283962,10,0,0,0.001953125,0.03125
sparse_clean,relative_l2,vrba-m6,10,-0.21344143124960804,-0.22420736675907324,-0.32405677599671817,-0.1575657468260268,10,0,0,0.001953125,0.03125
sparse_clean,relative_l2,vrba-m7,10,-0.17495001592414108,-0.185877144196201,-0.24497493380918173,-0.13278627777494353,10,0,0,0.001953125,0.03125
sparse_clean,relative_l2,vrba-vw,10,-0.13280570439653105,-0.14349773257383272,-0.2227767593414191,-0.081193113973212,9,0,1,0.021484375,0.107421875
sparse_noisy,relative_l2,vrba-m5,10,-0.19788618037783062,-0.2089538329613294,-0.3026946383803085,-0.17423264103875075,10,0,0,0.001953125,0.03125
sparse_noisy,relative_l2,vrba-m6,10,-0.188487179305454,-0.2003432726690217,-0.2650640357307314,-0.17001192797202017,9,0,1,0.021484375,0.107421875
sparse_noisy,relative_l2,vrba-m7,10,-0.15851521559308585,-0.16552936982370084,-0.21515690988280864,-0.13597289067604512,9,0,1,0.021484375,0.107421875
sparse_noisy,relative_l2,vrba-vw,10,-0.1482405947294453,-0.13530622926058214,-0.2265884937225784,-0.04930706287165593,8,0,2,0.109375,0.109375
block_missing,max_abs_error,vrba-m5,10,0.012353325574143148,0.03909990194774745,-0.06932931730056413,0.09525081480628339,4,0,6,0.75390625,1.0
block_missing,max_abs_error,vrba-m6,10,0.022685759535292005,0.0471065471060171,-0.06886555593120669,0.10445959164543078,4,0,6,0.75390625,1.0
block_missing,max_abs_error,vrba-m7,10,0.046132374750894045,0.05987775557825694,-0.05001967302167443,0.11891529998178063,3,0,7,0.34375,1.0
block_missing,max_abs_error,vrba-vw,10,-0.008731308882878763,0.05664376613418491,-0.04619108135069938,0.0958959733890089,6,0,4,0.75390625,1.0
extreme,max_abs_error,vrba-m5,10,0.0012138971563815382,0.13279967130728051,-0.06041934201366694,0.3547316601607735,5,0,5,1.0,1.0
extreme,max_abs_error,vrba-m6,10,-0.019762801915684913,0.10830487623060439,-0.05792382865239992,0.33512551834633075,6,0,4,0.75390625,1.0
extreme,max_abs_error,vrba-m7,10,0.004407328300097435,0.11811340380518098,-0.03340514754598278,0.29311955962743397,4,0,6,0.75390625,1.0
extreme,max_abs_error,vrba-vw,10,-0.043326927010049365,0.029230519653336895,-0.13081940993454,0.22888594497907055,6,0,4,0.75390625,1.0
sparse_clean,max_abs_error,vrba-m5,10,0.11143957424548734,0.12854460359793962,-0.18578692535561991,0.44740276038499704,4,0,6,0.75390625,1.0
sparse_clean,max_abs_error,vrba-m6,10,0.15184760097718986,0.16944006269333503,-0.17668195175251677,0.5170752867274332,4,0,6,0.75390625,1.0
sparse_clean,max_abs_error,vrba-m7,10,0.098634568681641,0.13156374450241587,-0.17484824275059163,0.4610657396107135,5,0,5,1.0,1.0
sparse_clean,max_abs_error,vrba-vw,10,0.11941322074525929,0.1798238172129817,-0.09695424540685482,0.5408349061805455,3,0,7,0.34375,1.0
sparse_noisy,max_abs_error,vrba-m5,10,0.19445923404202947,0.23092946692185504,-0.11533873334733996,0.5768298103237117,4,0,6,0.75390625,1.0
sparse_noisy,max_abs_error,vrba-m6,10,0.23124544499553318,0.26128812292547166,-0.08380881451457683,0.5843155332189753,2,0,8,0.109375,1.0
sparse_noisy,max_abs_error,vrba-m7,10,0.20019390390635605,0.20163762707000382,-0.0699809042109929,0.4518176756671701,4,0,6,0.75390625,1.0
sparse_noisy,max_abs_error,vrba-vw,10,0.21063147198757365,0.22464124325200077,-0.10367207643205634,0.5651262680813987,4,0,6,0.75390625,1.0
